,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
452,2020-04-06 00:05:00,10.0,3.0,8.0,4.0,1.0,,5.2
609,2020-04-06 00:10:00,1.0,9.0,0.0,9.0,8.0,1.0,5.4
723,2020-04-06 00:10:00,0.0,7.0,0.0,3.0,10.0,,4.0
107,2020-04-06 00:10:00,1.0,5.0,4.0,8.0,9.0,,5.4
250,2020-04-06 00:15:00,8.0,3.0,1.0,7.0,10.0,,5.8
1165,2020-04-06 00:20:00,10.0,3.0,10.0,9.0,0.0,,6.4
338,2020-04-06 00:25:00,1.0,5.0,4.0,1.0,8.0,,3.8
1093,2020-04-06 00:40:00,10.0,3.0,5.0,2.0,9.0,,5.8
603,2020-04-06 00:40:00,10.0,7.0,0.0,8.0,5.0,0.0,6.0
991,2020-04-06 00:45:00,10.0,4.0,8.0,1.0,0.0,,4.6
1074,2020-04-06 00:55:00,7.0,5.0,5.0,7.0,3.0,1.0,5.4
388,2020-04-06 01:00:00,10.0,10.0,10.0,7.0,2.0,,7.8
264,2020-04-06 01:00:00,1.0,6.0,4.0,0.0,10.0,,4.2
216,2020-04-06 01:05:00,7.0,2.0,3.0,6.0,10.0,,5.6
611,2020-04-06 01:10:00,9.0,1.0,8.0,10.0,7.0,0.0,7.0
671,2020-04-06 01:10:00,5.0,9.0,2.0,4.0,2.0,,4.4
1082,2020-04-06 01:15:00,5.0,8.0,7.0,2.0,0.0,,4.4
175,2020-04-06 01:15:00,6.0,0.0,2.0,8.0,2.0,,3.6
12,2020-04-06 01:15:00,2.0,6.0,4.0,6.0,7.0,,5.0
466,2020-04-06 01:30:00,2.0,1.0,2.0,8.0,7.0,0.0,4.0
949,2020-04-06 01:35:00,6.0,3.0,10.0,7.0,2.0,,5.6
581,2020-04-06 02:10:00,3.0,4.0,0.0,2.0,10.0,,3.8
544,2020-04-06 02:15:00,8.0,5.0,3.0,9.0,4.0,,5.8
1072,2020-04-06 02:15:00,10.0,9.0,10.0,4.0,3.0,,7.2
1139,2020-04-06 02:20:00,8.0,5.0,5.0,2.0,10.0,,6.0
751,2020-04-06 02:20:00,7.0,10.0,10.0,4.0,10.0,,8.2
66,2020-04-06 02:35:00,2.0,7.0,2.0,5.0,9.0,,5.0
600,2020-04-06 02:35:00,0.0,1.0,3.0,2.0,8.0,,2.8
69,2020-04-06 02:40:00,8.0,5.0,2.0,10.0,7.0,1.0,6.4
1062,2020-04-06 02:45:00,7.0,10.0,0.0,0.0,10.0,0.0,5.4
740,2020-04-06 02:50:00,3.0,3.0,3.0,1.0,10.0,,4.0
329,2020-04-06 02:50:00,9.0,9.0,7.0,10.0,4.0,,7.8
862,2020-04-06 02:55:00,6.0,3.0,9.0,1.0,10.0,,5.8
946,2020-04-06 03:00:00,9.0,3.0,2.0,4.0,2.0,,4.0
988,2020-04-06 03:05:00,5.0,10.0,7.0,4.0,10.0,,7.2
1096,2020-04-06 03:05:00,8.0,9.0,9.0,10.0,9.0,,9.0
316,2020-04-06 03:10:00,5.0,2.0,6.0,7.0,4.0,,4.8
1047,2020-04-06 03:10:00,10.0,2.0,2.0,8.0,3.0,,5.0
734,2020-04-06 03:15:00,5.0,9.0,10.0,2.0,10.0,,7.2
1079,2020-04-06 03:20:00,7.0,0.0,0.0,10.0,9.0,0.0,5.2
1001,2020-04-06 03:25:00,8.0,8.0,3.0,2.0,2.0,1.0,4.6
720,2020-04-06 03:25:00,9.0,3.0,10.0,8.0,9.0,,7.8
536,2020-04-06 03:30:00,4.0,8.0,6.0,2.0,2.0,,4.4
345,2020-04-06 03:40:00,10.0,8.0,1.0,5.0,10.0,,6.8
552,2020-04-06 03:50:00,4.0,6.0,6.0,5.0,6.0,,5.4
761,2020-04-06 03:50:00,8.0,2.0,2.0,5.0,10.0,,5.4
51,2020-04-06 03:55:00,10.0,0.0,7.0,3.0,0.0,,4.0
479,2020-04-06 04:00:00,9.0,2.0,4.0,7.0,7.0,,5.8
1004,2020-04-06 04:00:00,4.0,8.0,6.0,10.0,3.0,1.0,6.2
187,2020-04-06 04:00:00,3.0,7.0,6.0,4.0,10.0,,6.0
830,2020-04-06 04:00:00,3.0,0.0,9.0,6.0,9.0,,5.4
229,2020-04-06 04:05:00,10.0,5.0,5.0,8.0,9.0,,7.4
62,2020-04-06 04:15:00,10.0,9.0,10.0,8.0,6.0,,8.6
248,2020-04-06 04:20:00,8.0,4.0,8.0,8.0,8.0,,7.2
853,2020-04-06 04:20:00,1.0,3.0,10.0,6.0,10.0,,6.0
769,2020-04-06 04:25:00,3.0,10.0,9.0,10.0,3.0,,7.0
866,2020-04-06 04:25:00,8.0,6.0,5.0,3.0,5.0,,5.4
678,2020-04-06 04:30:00,1.0,5.0,10.0,5.0,2.0,,4.6
1123,2020-04-06 04:45:00,7.0,6.0,4.0,10.0,0.0,,5.4
665,2020-04-06 05:05:00,2.0,10.0,8.0,6.0,10.0,1.0,7.2
1016,2020-04-06 05:10:00,6.0,6.0,9.0,3.0,2.0,,5.2
76,2020-04-06 05:10:00,7.0,3.0,9.0,1.0,8.0,,5.6
480,2020-04-06 05:10:00,10.0,3.0,3.0,5.0,4.0,,5.0
598,2020-04-06 05:10:00,5.0,4.0,7.0,3.0,10.0,,5.8
728,2020-04-06 05:20:00,10.0,3.0,8.0,4.0,5.0,,6.0
1091,2020-04-06 05:20:00,2.0,2.0,8.0,1.0,10.0,,4.6
214,2020-04-06 05:30:00,2.0,5.0,9.0,8.0,3.0,,5.4
1042,2020-04-06 05:35:00,5.0,0.0,4.0,6.0,10.0,1.0,5.0
86,2020-04-06 05:35:00,10.0,1.0,9.0,4.0,7.0,,6.2
464,2020-04-06 05:40:00,3.0,0.0,0.0,7.0,8.0,,3.6
842,2020-04-06 05:45:00,10.0,5.0,10.0,10.0,3.0,0.0,7.6
1156,2020-04-06 05:55:00,10.0,3.0,1.0,10.0,4.0,,5.6
1053,2020-04-06 05:55:00,6.0,6.0,6.0,2.0,1.0,,4.2
839,2020-04-06 06:05:00,2.0,5.0,1.0,10.0,8.0,,5.2
926,2020-04-06 06:05:00,10.0,7.0,1.0,5.0,3.0,,5.2
100,2020-04-06 06:10:00,1.0,6.0,1.0,8.0,9.0,0.0,5.0
1209,2020-04-06 06:10:00,2.0,7.0,4.0,0.0,5.0,0.0,3.6
1191,2020-04-06 06:10:00,5.0,10.0,5.0,0.0,10.0,,6.0
844,2020-04-06 06:15:00,10.0,10.0,4.0,8.0,10.0,1.0,8.4
143,2020-04-06 06:15:00,4.0,3.0,5.0,10.0,2.0,0.0,4.8
993,2020-04-06 06:30:00,0.0,9.0,9.0,1.0,4.0,,4.6
44,2020-04-06 06:30:00,1.0,9.0,5.0,6.0,3.0,,4.8
82,2020-04-06 06:45:00,5.0,4.0,5.0,8.0,4.0,,5.2
1107,2020-04-06 06:50:00,8.0,7.0,6.0,3.0,8.0,,6.4
688,2020-04-06 06:55:00,8.0,4.0,5.0,3.0,2.0,,4.4
1138,2020-04-06 07:00:00,10.0,7.0,9.0,8.0,10.0,,8.8
1055,2020-04-06 07:05:00,9.0,7.0,1.0,5.0,10.0,,6.4
1032,2020-04-06 07:10:00,10.0,3.0,2.0,10.0,9.0,,6.8
964,2020-04-06 07:15:00,3.0,6.0,10.0,1.0,10.0,,6.0
535,2020-04-06 07:20:00,6.0,4.0,7.0,10.0,3.0,0.0,6.0
779,2020-04-06 07:25:00,8.0,10.0,5.0,1.0,8.0,,6.4
459,2020-04-06 07:25:00,4.0,4.0,10.0,9.0,6.0,,6.6
958,2020-04-06 07:30:00,7.0,1.0,6.0,6.0,6.0,,5.2
325,2020-04-06 07:30:00,1.0,0.0,10.0,1.0,5.0,,3.4
1222,2020-04-06 07:35:00,4.0,1.0,8.0,3.0,4.0,,4.0
537,2020-04-06 07:40:00,4.0,3.0,7.0,10.0,7.0,,6.2
1102,2020-04-06 07:40:00,3.0,5.0,10.0,3.0,2.0,,4.6
659,2020-04-06 07:45:00,10.0,9.0,3.0,10.0,9.0,,8.2
992,2020-04-06 07:45:00,2.0,7.0,9.0,0.0,8.0,,5.2
945,2020-04-06 07:55:00,10.0,2.0,2.0,3.0,3.0,1.0,4.0
363,2020-04-06 07:55:00,1.0,6.0,10.0,5.0,7.0,,5.8
225,2020-04-06 08:10:00,7.0,8.0,3.0,8.0,0.0,,5.2
440,2020-04-06 08:25:00,1.0,3.0,4.0,5.0,10.0,,4.6
865,2020-04-06 08:25:00,6.0,2.0,10.0,10.0,3.0,,6.2
412,2020-04-06 08:30:00,9.0,10.0,3.0,8.0,6.0,,7.2
563,2020-04-06 08:30:00,10.0,7.0,1.0,2.0,4.0,1.0,4.8
174,2020-04-06 08:35:00,4.0,3.0,0.0,5.0,4.0,1.0,3.2
1115,2020-04-06 08:45:00,10.0,5.0,8.0,10.0,10.0,,8.6
137,2020-04-06 08:55:00,4.0,0.0,10.0,4.0,0.0,,3.6
719,2020-04-06 09:05:00,10.0,6.0,6.0,1.0,4.0,,5.4
793,2020-04-06 09:10:00,1.0,4.0,5.0,7.0,0.0,,3.4
231,2020-04-06 09:20:00,0.0,0.0,1.0,3.0,0.0,,0.8
821,2020-04-06 09:20:00,1.0,0.0,4.0,4.0,9.0,,3.6
963,2020-04-06 09:20:00,8.0,10.0,2.0,2.0,3.0,,5.0
347,2020-04-06 09:40:00,6.0,10.0,5.0,10.0,2.0,,6.6
3,2020-04-06 09:45:00,10.0,2.0,10.0,2.0,10.0,,6.8
700,2020-04-06 09:50:00,6.0,10.0,3.0,1.0,10.0,,6.0
1149,2020-04-06 09:55:00,1.0,10.0,10.0,3.0,1.0,1.0,5.0
660,2020-04-06 10:20:00,7.0,2.0,9.0,9.0,2.0,,5.8
29,2020-04-06 10:25:00,0.0,8.0,9.0,3.0,1.0,,4.2
857,2020-04-06 10:30:00,10.0,1.0,6.0,4.0,8.0,,5.8
56,2020-04-06 10:30:00,10.0,6.0,6.0,6.0,9.0,,7.4
908,2020-04-06 10:35:00,4.0,1.0,8.0,8.0,3.0,,4.8
178,2020-04-06 10:35:00,2.0,8.0,5.0,9.0,10.0,,6.8
516,2020-04-06 10:40:00,6.0,0.0,9.0,7.0,8.0,,6.0
149,2020-04-06 10:40:00,8.0,8.0,2.0,1.0,9.0,,5.6
476,2020-04-06 10:40:00,0.0,9.0,0.0,5.0,3.0,,3.4
691,2020-04-06 10:50:00,8.0,4.0,6.0,2.0,9.0,,5.8
1084,2020-04-06 10:55:00,3.0,2.0,8.0,2.0,3.0,,3.6
695,2020-04-06 11:00:00,1.0,2.0,3.0,1.0,1.0,,1.6
251,2020-04-06 11:00:00,4.0,5.0,3.0,8.0,6.0,,5.2
1153,2020-04-06 11:20:00,5.0,1.0,5.0,8.0,6.0,,5.0
636,2020-04-06 11:20:00,7.0,3.0,3.0,3.0,6.0,,4.4
572,2020-04-06 11:25:00,4.0,4.0,0.0,3.0,10.0,0.0,4.2
206,2020-04-06 11:25:00,10.0,10.0,1.0,2.0,4.0,,5.4
210,2020-04-06 11:25:00,6.0,10.0,7.0,2.0,9.0,,6.8
890,2020-04-06 11:40:00,10.0,10.0,7.0,10.0,2.0,,7.8
545,2020-04-06 11:50:00,4.0,2.0,9.0,1.0,7.0,,4.6
808,2020-04-06 12:15:00,7.0,1.0,4.0,10.0,1.0,,4.6
1129,2020-04-06 12:15:00,8.0,1.0,10.0,10.0,1.0,,6.0
1196,2020-04-06 12:15:00,9.0,3.0,1.0,8.0,4.0,,5.0
492,2020-04-06 12:15:00,10.0,1.0,8.0,8.0,9.0,,7.2
652,2020-04-06 12:20:00,10.0,6.0,5.0,2.0,2.0,,5.0
893,2020-04-06 12:25:00,5.0,8.0,10.0,8.0,2.0,,6.6
1237,2020-04-06 12:25:00,3.0,5.0,10.0,2.0,2.0,,4.4
377,2020-04-06 12:35:00,7.0,10.0,0.0,10.0,9.0,,7.2
1134,2020-04-06 12:40:00,8.0,7.0,10.0,7.0,6.0,1.0,7.6
235,2020-04-06 12:45:00,0.0,9.0,2.0,9.0,3.0,,4.6
1073,2020-04-06 12:55:00,6.0,0.0,7.0,7.0,10.0,0.0,6.0
1159,2020-04-06 12:55:00,4.0,3.0,9.0,5.0,6.0,,5.4
597,2020-04-06 12:55:00,1.0,8.0,8.0,2.0,0.0,1.0,3.8
259,2020-04-06 12:55:00,8.0,7.0,0.0,1.0,9.0,,5.0
1124,2020-04-06 13:00:00,7.0,4.0,7.0,1.0,2.0,,4.2
84,2020-04-06 13:05:00,9.0,5.0,10.0,4.0,9.0,,7.4
989,2020-04-06 13:15:00,2.0,9.0,10.0,8.0,9.0,,7.6
1174,2020-04-06 13:15:00,6.0,8.0,10.0,3.0,1.0,,5.6
59,2020-04-06 13:35:00,1.0,2.0,10.0,5.0,7.0,1.0,5.0
110,2020-04-06 13:35:00,7.0,1.0,6.0,10.0,10.0,,6.8
747,2020-04-06 13:35:00,0.0,7.0,4.0,7.0,0.0,,3.6
704,2020-04-06 13:40:00,10.0,0.0,8.0,6.0,8.0,,6.4
337,2020-04-06 13:45:00,2.0,1.0,9.0,4.0,3.0,,3.8
94,2020-04-06 13:45:00,10.0,9.0,8.0,4.0,5.0,,7.2
870,2020-04-06 14:00:00,4.0,5.0,9.0,0.0,0.0,,3.6
697,2020-04-06 14:10:00,7.0,6.0,4.0,4.0,3.0,,4.8
179,2020-04-06 14:15:00,10.0,10.0,5.0,10.0,6.0,,8.2
1195,2020-04-06 14:15:00,0.0,4.0,1.0,3.0,0.0,,1.6
144,2020-04-06 14:15:00,3.0,9.0,5.0,9.0,10.0,,7.2
261,2020-04-06 14:20:00,1.0,10.0,0.0,5.0,7.0,0.0,4.6
816,2020-04-06 14:25:00,5.0,2.0,9.0,9.0,7.0,,6.4
85,2020-04-06 14:30:00,5.0,3.0,1.0,1.0,1.0,,2.2
1304,2020-04-06 14:35:00,-0.0,-0.0,0.0,0.0,2.0,0.0,0.4
1009,2020-04-06 14:35:00,6.0,9.0,9.0,4.0,9.0,,7.4
882,2020-04-06 14:35:00,5.0,9.0,5.0,3.0,7.0,1.0,5.8
1295,2020-04-06 14:35:00,-0.0,-0.0,0.0,0.0,1.0,0.0,0.2
1313,2020-04-06 14:40:00,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0
1277,2020-04-06 14:40:00,0.0,-0.0,0.0,0.0,2.0,0.0,0.4
1288,2020-04-06 14:40:00,0.0,1.0,0.0,0.0,1.0,0.0,0.4
1286,2020-04-06 14:45:00,0.0,-0.0,0.0,0.0,1.0,1.0,0.2
1279,2020-04-06 14:50:00,0.0,-0.0,1.0,0.0,-0.0,-0.0,0.2
1315,2020-04-06 14:50:00,0.0,0.0,0.0,0.0,1.0,1.0,0.2
1075,2020-04-06 14:55:00,2.0,6.0,2.0,9.0,7.0,1.0,5.2
1296,2020-04-06 15:05:00,0.0,0.0,-0.0,1.0,1.0,0.0,0.4
906,2020-04-06 15:05:00,4.0,6.0,9.0,2.0,8.0,,5.8
81,2020-04-06 15:05:00,10.0,9.0,2.0,4.0,3.0,,5.6
1314,2020-04-06 15:05:00,1.0,0.0,0.0,0.0,1.0,1.0,0.4
481,2020-04-06 15:15:00,6.0,10.0,4.0,4.0,5.0,,5.8
1283,2020-04-06 15:15:00,1.0,-0.0,1.0,0.0,2.0,-0.0,0.8
1303,2020-04-06 15:15:00,-0.0,1.0,2.0,0.0,2.0,1.0,1.0
1306,2020-04-06 15:15:00,0.0,1.0,0.0,1.0,2.0,0.0,0.8
270,2020-04-06 15:20:00,0.0,10.0,10.0,1.0,7.0,,5.6
421,2020-04-06 15:20:00,3.0,1.0,9.0,4.0,3.0,0.0,4.0
1302,2020-04-06 15:25:00,0.0,0.0,-0.0,1.0,1.0,1.0,0.4
1282,2020-04-06 15:30:00,-0.0,-0.0,1.0,0.0,2.0,0.0,0.6
1281,2020-04-06 15:30:00,0.0,-0.0,0.0,0.0,1.0,1.0,0.2
823,2020-04-06 15:35:00,6.0,0.0,8.0,7.0,2.0,,4.6
1246,2020-04-06 15:35:00,6.0,6.0,7.0,5.0,6.0,,6.0
1300,2020-04-06 15:35:00,1.0,0.0,0.0,0.0,1.0,0.0,0.4
1287,2020-04-06 15:40:00,0.0,0.0,0.0,0.0,1.0,-0.0,0.2
591,2020-04-06 15:40:00,3.0,7.0,10.0,8.0,7.0,,7.0
75,2020-04-06 15:40:00,7.0,10.0,10.0,1.0,10.0,1.0,7.6
393,2020-04-06 15:45:00,2.0,6.0,3.0,3.0,8.0,,4.4
319,2020-04-06 15:45:00,9.0,0.0,0.0,10.0,10.0,,5.8
1000,2020-04-06 15:45:00,9.0,3.0,0.0,7.0,7.0,,5.2
1280,2020-04-06 15:50:00,0.0,1.0,-0.0,0.0,1.0,0.0,0.4
1278,2020-04-06 15:55:00,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,2020-04-06 16:00:00,0.0,-0.0,-0.0,1.0,1.0,-0.0,0.4
1442,2020-04-06 16:00:00,-0.0,0.0,-0.0,-0.0,2.0,0.0,0.4
1421,2020-04-06 16:00:00,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
684,2020-04-06 16:00:00,5.0,1.0,9.0,1.0,1.0,,3.4
1299,2020-04-06 16:00:00,0.0,1.0,-0.0,0.0,1.0,-0.0,0.4
1290,2020-04-06 16:00:00,1.0,-0.0,0.0,0.0,1.0,-0.0,0.4
307,2020-04-06 16:00:00,8.0,1.0,0.0,7.0,4.0,,4.0
1297,2020-04-06 16:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.2
672,2020-04-06 16:05:00,0.0,8.0,4.0,5.0,1.0,,3.6
1448,2020-04-06 16:05:00,0.0,0.0,0.0,1.0,1.0,1.0,0.4
1451,2020-04-06 16:05:00,0.0,0.0,0.0,1.0,1.0,,0.4
1404,2020-04-06 16:05:00,0.0,-0.0,1.0,1.0,1.0,0.0,0.6
1332,2020-04-06 16:05:00,-0.0,-0.0,0.0,1.0,1.0,0.0,0.4
1393,2020-04-06 16:05:00,1.0,0.0,0.0,0.0,1.0,-0.0,0.4
1108,2020-04-06 16:05:00,4.0,10.0,6.0,5.0,7.0,,6.4
1319,2020-04-06 16:05:00,1.0,-0.0,0.0,0.0,1.0,-0.0,0.4
643,2020-04-06 16:05:00,9.0,1.0,0.0,1.0,0.0,,2.2
1344,2020-04-06 16:05:00,0.0,0.0,-0.0,0.0,2.0,0.0,0.4
1440,2020-04-06 16:10:00,0.0,1.0,0.0,0.0,1.0,-0.0,0.4
1360,2020-04-06 16:10:00,0.0,1.0,0.0,-0.0,2.0,0.0,0.6
1417,2020-04-06 16:10:00,0.0,-0.0,-0.0,1.0,1.0,0.0,0.4
1433,2020-04-06 16:10:00,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1354,2020-04-06 16:10:00,0.0,1.0,-0.0,-0.0,0.0,0.0,0.2
1459,2020-04-06 16:10:00,0.0,1.0,-0.0,0.0,1.0,-0.0,0.4
1345,2020-04-06 16:10:00,-0.0,0.0,1.0,1.0,2.0,-0.0,0.8
1458,2020-04-06 16:10:00,1.0,-0.0,0.0,1.0,2.0,0.0,0.8
1397,2020-04-06 16:10:00,1.0,-0.0,0.0,0.0,1.0,0.0,0.4
1328,2020-04-06 16:10:00,1.0,1.0,-0.0,0.0,0.0,0.0,0.4
1405,2020-04-06 16:15:00,0.0,0.0,-0.0,0.0,1.0,0.0,0.2
1401,2020-04-06 16:15:00,-0.0,1.0,1.0,0.0,1.0,0.0,0.6
1392,2020-04-06 16:15:00,0.0,1.0,-0.0,1.0,1.0,0.0,0.6
1468,2020-04-06 16:15:00,0.0,-0.0,0.0,-0.0,1.0,1.0,0.2
19,2020-04-06 16:15:00,4.0,4.0,10.0,10.0,9.0,,7.4
1325,2020-04-06 16:15:00,-0.0,0.0,0.0,0.0,2.0,-0.0,0.4
1406,2020-04-06 16:15:00,0.0,2.0,0.0,0.0,1.0,0.0,0.6
1463,2020-04-06 16:20:00,0.0,1.0,0.0,3.0,-0.0,0.0,0.8
1292,2020-04-06 16:20:00,-0.0,-0.0,-0.0,0.0,1.0,-0.0,0.2
1415,2020-04-06 16:20:00,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0
1347,2020-04-06 16:20:00,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.4
1366,2020-04-06 16:20:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1352,2020-04-06 16:20:00,1.0,0.0,-0.0,-0.0,2.0,0.0,0.6
1364,2020-04-06 16:20:00,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.4
1324,2020-04-06 16:20:00,0.0,1.0,1.0,1.0,1.0,0.0,0.8
1351,2020-04-06 16:20:00,0.0,-0.0,1.0,1.0,-0.0,0.0,0.4
1424,2020-04-06 16:20:00,1.0,0.0,0.0,0.0,1.0,0.0,0.4
460,2020-04-06 16:20:00,6.0,10.0,8.0,7.0,4.0,1.0,7.0
1449,2020-04-06 16:20:00,0.0,1.0,0.0,0.0,1.0,1.0,0.4
1390,2020-04-06 16:20:00,0.0,1.0,0.0,0.0,-0.0,0.0,0.2
1378,2020-04-06 16:25:00,-0.0,0.0,1.0,-0.0,0.0,0.0,0.2
1334,2020-04-06 16:25:00,0.0,0.0,1.0,0.0,1.0,0.0,0.4
1384,2020-04-06 16:25:00,1.0,0.0,0.0,0.0,1.0,0.0,0.4
1428,2020-04-06 16:25:00,1.0,-0.0,0.0,0.0,2.0,-0.0,0.6
1307,2020-04-06 16:25:00,0.0,1.0,0.0,1.0,2.0,1.0,0.8
1425,2020-04-06 16:25:00,-0.0,0.0,1.0,-0.0,1.0,0.0,0.4
1361,2020-04-06 16:25:00,1.0,-0.0,-0.0,0.0,1.0,0.0,0.4
1381,2020-04-06 16:30:00,-0.0,0.0,-0.0,0.0,1.0,0.0,0.2
1383,2020-04-06 16:30:00,1.0,-0.0,1.0,-0.0,0.0,0.0,0.4
1461,2020-04-06 16:30:00,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.2
1312,2020-04-06 16:30:00,0.0,0.0,-0.0,1.0,1.0,0.0,0.4
1331,2020-04-06 16:30:00,2.0,0.0,-0.0,0.0,2.0,0.0,0.8
1301,2020-04-06 16:30:00,0.0,0.0,1.0,0.0,1.0,1.0,0.4
1343,2020-04-06 16:30:00,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1321,2020-04-06 16:30:00,0.0,0.0,-0.0,1.0,1.0,0.0,0.4
1316,2020-04-06 16:30:00,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.4
1422,2020-04-06 16:30:00,-0.0,0.0,0.0,0.0,1.0,-0.0,0.2
1329,2020-04-06 16:30:00,-0.0,0.0,-0.0,0.0,1.0,1.0,0.2
1394,2020-04-06 16:35:00,0.0,0.0,-0.0,0.0,2.0,0.0,0.4
1356,2020-04-06 16:35:00,0.0,0.0,0.0,1.0,1.0,0.0,0.4
1386,2020-04-06 16:35:00,0.0,-0.0,1.0,1.0,2.0,0.0,0.8
1357,2020-04-06 16:35:00,0.0,0.0,0.0,1.0,-0.0,1.0,0.2
1410,2020-04-06 16:35:00,-0.0,0.0,0.0,0.0,1.0,0.0,0.2
1370,2020-04-06 16:35:00,0.0,0.0,0.0,-0.0,1.0,-0.0,0.2
1411,2020-04-06 16:35:00,0.0,0.0,-0.0,0.0,1.0,0.0,0.2
1465,2020-04-06 16:35:00,0.0,-0.0,1.0,1.0,2.0,0.0,0.8
1435,2020-04-06 16:35:00,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.2
335,2020-04-06 16:35:00,3.0,2.0,2.0,2.0,8.0,,3.4
1342,2020-04-06 16:35:00,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
1403,2020-04-06 16:35:00,0.0,-0.0,0.0,0.0,1.0,0.0,0.2
1322,2020-04-06 16:35:00,1.0,0.0,0.0,-0.0,1.0,0.0,0.4
1353,2020-04-06 16:35:00,1.0,0.0,0.0,1.0,0.0,1.0,0.4
1396,2020-04-06 16:40:00,0.0,1.0,0.0,-0.0,0.0,-0.0,0.2
1400,2020-04-06 16:40:00,0.0,-0.0,1.0,0.0,1.0,0.0,0.4
1460,2020-04-06 16:40:00,0.0,0.0,1.0,0.0,1.0,0.0,0.4
1391,2020-04-06 16:40:00,2.0,1.0,0.0,0.0,0.0,0.0,0.6
1426,2020-04-06 16:40:00,0.0,0.0,-0.0,0.0,1.0,0.0,0.2
1441,2020-04-06 16:40:00,1.0,1.0,0.0,0.0,-0.0,1.0,0.4
1368,2020-04-06 16:40:00,0.0,-0.0,0.0,0.0,2.0,0.0,0.4
1414,2020-04-06 16:40:00,0.0,1.0,0.0,1.0,1.0,-0.0,0.6
1359,2020-04-06 16:40:00,0.0,0.0,-0.0,-0.0,2.0,0.0,0.4
1423,2020-04-06 16:40:00,0.0,1.0,0.0,1.0,1.0,0.0,0.6
1416,2020-04-06 16:45:00,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.2
1372,2020-04-06 16:45:00,0.0,0.0,-0.0,0.0,1.0,1.0,0.2
1339,2020-04-06 16:45:00,0.0,1.0,0.0,0.0,1.0,1.0,0.4
1456,2020-04-06 16:45:00,-0.0,0.0,0.0,-0.0,1.0,1.0,0.2
1469,2020-04-06 16:45:00,0.0,0.0,-0.0,1.0,1.0,1.0,0.4
1402,2020-04-06 16:45:00,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
647,2020-04-06 16:45:00,6.0,8.0,5.0,3.0,4.0,,5.2
1474,2020-04-06 16:50:00,1.0,1.0,0.0,-0.0,2.0,0.0,0.8
1407,2020-04-06 16:50:00,1.0,0.0,0.0,-0.0,1.0,0.0,0.4
